127.0.0.1 - - [05/Jun/2017:00:39:48 -0400] "GET / HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/ HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/css/carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/images/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/images/back2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:50 -0400] "GET /eStore/resources/images/back3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:59 -0400] "GET /eStore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:59 -0400] "GET /eStore/ HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:39:59 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:01 -0400] "GET /eStore/ HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:01 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:03 -0400] "GET /eStore/login/ HTTP/1.1" 200 4124
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:03 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:06 -0400] "POST /eStore/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:07 -0400] "GET /eStore/product/productList/ HTTP/1.1" 200 5483
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:07 -0400] "GET /eStore/resources/images/7.png HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:07 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:07 -0400] "GET /eStore/resources/images/8.png HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:07 -0400] "GET /eStore/resources/images/9.png HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:11 -0400] "GET /eStore/admin HTTP/1.1" 200 4121
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:11 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:16 -0400] "GET /eStore/admin/customer HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:16 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:24 -0400] "GET /eStore/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:24 -0400] "GET /eStore/login?logout HTTP/1.1" 200 4217
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:24 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:26 -0400] "GET /eStore/register HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:26 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:28 -0400] "POST /eStore/register HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:28 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:45 -0400] "POST /eStore/register HTTP/1.1" 200 7594
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:40:45 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:41:09 -0400] "POST /eStore/register HTTP/1.1" 200 7670
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:41:09 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:28 -0400] "GET /eStore/ HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:28 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:36 -0400] "GET /eStore/login/ HTTP/1.1" 200 4124
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:37 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:39 -0400] "GET /eStore/ HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:39 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:41 -0400] "GET /eStore/register HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [05/Jun/2017:00:43:41 -0400] "GET /eStore/resources/css/main.css HTTP/1.1" 404 1055
